USPS,County_Name,INTPTLAT,INTPTLONG
CA,Fresno,36.761006,-119.655019
CA,Kern,35.346629,-118.729506
CA,Kings,36.072478,-119.81553
CA,Merced,37.194806,-120.722802
CA,San Joaquin,37.934982,-121.272244
CA,Solano,38.267226,-121.939594
CA,Stanislaus,37.562316,-121.002831
CA,Yolo,38.679595,-121.902441
