Date,Temperature,PrecipIntensity,PrecipProbability,Pressure,Sunlight,DewPoint,County,State
5/26/15,62.865,0,0,1013.194583,2.833333333,50.57125,Yolo,CA
5/27/15,64.64541667,0,0,1013.75375,2.791666667,52.00958333,Yolo,CA
5/28/15,67.31166667,0,0,1013.87625,2.625,52.45,Yolo,CA
5/29/15,68.84583333,0,0,1012.255,2.75,51.34083333,Yolo,CA
5/30/15,69.49125,0,0,1011.08375,2.833333333,51.6775,Yolo,CA
5/31/15,64.12666667,0,0,1010.690833,2.625,49.42916667,Yolo,CA
6/1/15,65.60125,0,0,1015.03,2.5,51.94416667,Yolo,CA
6/2/15,68.54375,0,0,1014.79625,2.875,53.14375,Yolo,CA
6/3/15,67.67541667,0,0,1010.7775,2.791666667,51.6225,Yolo,CA
6/4/15,69.19666667,0,0,1008.201667,2.833333333,50.94333333,Yolo,CA
6/5/15,75.09083333,0,0,1007.21125,2.833333333,53.54291667,Yolo,CA
6/6/15,72.54083333,0,0,1009.14125,2.875,55.37,Yolo,CA
6/7/15,77.08791667,0,0,1010.010833,2.875,56.68333333,Yolo,CA
6/8/15,84.40458333,0,0,1008.997917,2.875,56.46583333,Yolo,CA
6/9/15,78.59583333,3.33E-05,0.002083333,1008.30625,2.708333333,55.41833333,Yolo,CA
6/10/15,69.67083333,0.001345833,0.127083333,1011.072083,1.625,60.68083333,Yolo,CA
6/11/15,78.075,1.67E-05,0.00375,1009.27,2.958333333,60.04166667,Yolo,CA
6/12/15,81.72291667,0,0,1006.7175,2.958333333,56.09,Yolo,CA
6/13/15,75.67583333,8.33E-06,0.004583333,1004.84125,2.958333333,54.97708333,Yolo,CA
6/14/15,69.11208333,0,0,1006.00875,2.958333333,53.35291667,Yolo,CA
6/15/15,67.805,0,0,1008.863333,2.958333333,52.4475,Yolo,CA
6/16/15,73.22083333,0,0,1011.245417,2.875,52.405,Yolo,CA
6/17/15,75.29708333,0,0,1010.552083,2.791666667,51.035,Yolo,CA
6/18/15,72.99041667,0,0,1011.604167,2.958333333,49.1675,Yolo,CA
6/19/15,73.77166667,0,0,1012.390417,2.958333333,46.81,Yolo,CA
6/20/15,75.92958333,0,0,1009.901667,2.875,49.91541667,Yolo,CA
6/21/15,69.29708333,0,0,1011.864583,2.916666667,48.91541667,Yolo,CA
6/22/15,70.94875,0,0,1014.02875,2.875,49.7575,Yolo,CA
6/23/15,74.97791667,0,0,1012.584167,2.958333333,50.69208333,Yolo,CA
6/24/15,77.21208333,0,0,1010.41,2.958333333,52.77166667,Yolo,CA
6/25/15,82.8475,0,0,1009.850833,2.958333333,54.60625,Yolo,CA
6/26/15,82.69333333,0,0,1010.277083,2.958333333,52.67458333,Yolo,CA
6/27/15,75.20625,0,0,1012.607083,2.791666667,53.08916667,Yolo,CA
6/28/15,76.905,0,0,1012.894583,2.833333333,56.315,Yolo,CA
6/29/15,77.15708333,0,0,1012.467917,2.916666667,54.27583333,Yolo,CA
6/30/15,86.08583333,0,0,1009.659583,2.833333333,54.85375,Yolo,CA
2/1/16,46.56791667,0,0,1020.795833,0.625,26.53208333,Yolo,CA
2/2/16,43.16833333,0.001804167,0.12125,1024.979583,0.458333333,37.59833333,Yolo,CA
2/3/16,44.55125,0.000329167,0.042083333,1029.08875,0.541666667,38.94333333,Yolo,CA
2/4/16,48.80125,0,0,1030.608333,0.666666667,42.1275,Yolo,CA
2/5/16,48.005,0,0,1030.145,0.708333333,40.78291667,Yolo,CA
2/6/16,50.89291667,0,0,1028.950833,0.75,41.95541667,Yolo,CA
2/7/16,55.0375,0,0,1024.800417,0.75,44.79791667,Yolo,CA
2/8/16,57.06375,0,0,1023.601667,0.791666667,45.14208333,Yolo,CA
2/9/16,56.775,0,0,1022.901667,0.75,46.48041667,Yolo,CA
2/10/16,55.67458333,0,0,1023.090417,0.791666667,46.2975,Yolo,CA
2/11/16,56.71083333,0,0,1021.175833,0.833333333,48.215,Yolo,CA
2/12/16,56.93541667,0,0,1022.16125,0.833333333,49.01166667,Yolo,CA
2/13/16,58.63083333,0,0,1023.394583,0.833333333,46.42791667,Yolo,CA
2/14/16,62.34416667,0,0,1023.535,0.833333333,47.21625,Yolo,CA
2/15/16,64.25875,0,0,1019.993333,0.833333333,48.71291667,Yolo,CA
2/16/16,59.90291667,0,0,1013.280417,0.833333333,49.99333333,Yolo,CA
2/17/16,59.52083333,0.015558333,0.205416667,1002.607917,0.833333333,49.78625,Yolo,CA
2/18/16,52.16083333,0.006275,0.287083333,1012.836667,0.75,45.44958333,Yolo,CA
2/19/16,50.83166667,0.001129167,0.06375,1019.909167,0.708333333,45.60458333,Yolo,CA
2/20/16,50.21416667,0,0,1023.141667,0.875,42.19041667,Yolo,CA
2/21/16,51.21333333,0,0,1024.182917,0.875,42.97375,Yolo,CA
2/22/16,55.08583333,0,0,1022.282083,0.916666667,39.55625,Yolo,CA
2/23/16,54.79083333,0,0,1018.0475,1,37.51833333,Yolo,CA
2/24/16,56.05416667,0,0,1020.31,1.041666667,44.79875,Yolo,CA
2/25/16,58.3025,0,0,1019.873333,1.041666667,45.97,Yolo,CA
